name,,location type,longitude,latitude,city,state,food item,food item,hospitality,hygiene,taste,photo url
Maa Tara Tiffin Center,,,"88.40840""E","22.59440""N",Kolkata,West Bengal,rolls,hing er kachori,4 stars,4 stars,5 stars,https://res.cloudinary.com/dsdky0ppi/image/upload/v1736398217/maa_vvxjhz.jpg
Nandi's Food Hub,,,"88.40822""E","22.59450""N",Kolkata,West Bengal,biryani,egg rolls,5 stars,3 stars,5 stars,https://res.cloudinary.com/dsdky0ppi/image/upload/v1736398293/nandi_s_nxdaz9.jpg
Krishna Fast Food Center,,,"88.40810""E","22.59480""N",Kolkata,West Bengal,chilli paneer,fish fry,5 stars,3 stars,3 stars,https://res.cloudinary.com/dsdky0ppi/image/upload/v1736398327/tasty_jrjbyd.jpg
Ganesh Pavbhaji,,,"88.41705""E","22.59560""N",Kolkata,West Bengal,pav bhaji,vada pav,5 stars,5 stars,4 stars,https://res.cloudinary.com/dsdky0ppi/image/upload/v1736398387/ganesh_ztovnc.jpg
Prasad Pani Puri,,,"88.41705""E","22.59560""N",Kolkata,West Bengal,pani puri,,5 stars,5 stars ,5 stars,https://res.cloudinary.com/dsdky0ppi/image/upload/v1736398425/prasad_kanuaf.jpg
Momo's Corner,,,"88.41700""E","22.59560""N",Kolkata,West Bengal,momo,cheese wai wai,5 stars,4 stars,5 stars,https://res.cloudinary.com/dsdky0ppi/image/upload/v1736398450/momo_stkzxe.jpg
Snacks Hut,,,"88.41700""E","22.59560""N",Kolkata,West Bengal,vada pav,chaat,4 stars,4 stars,5 stars,https://res.cloudinary.com/dsdky0ppi/image/upload/v1736398488/snacks_hut_ccq3ws.jpg
Victoria Corner,,,"88.41700""E","22.59560""N",Kolkata,West Bengal,chuski,soda shikhanji,5 stars,4 stars,5 stars,https://res.cloudinary.com/dsdky0ppi/image/upload/v1736398517/victoria_wuytfs.jpg
Ashok Bhel Puri,,,"88.41700""E","22.59560""N",Kolkata,West Bengal,bhel puri,papdi chaat,5 stars,4 stars,4 stars,https://res.cloudinary.com/dsdky0ppi/image/upload/v1736398546/ashok_jolrqs.jpg
Tapan Roll counter,,,"88.41700""E","22.59560""N",Kolkata,West Bengal,rolls,chops,4 stars,3 stars,2 stars,https://res.cloudinary.com/dsdky0ppi/image/upload/v1736398567/tapan_joj19v.jpg
Chat Hut,,,"88.41705""E","22.59565""N",Kolkata,West Bengal,chaat,bhel puri,5 stars,5 stars,5 stars,https://res.cloudinary.com/dsdky0ppi/image/upload/v1736398591/chat_hut_nbrqw5.jpg
Berlin Burgers,,,"88.42066""E","22.59484""N",Kolkata,West Bengal,burgers,fries,5 stars,5 stars,3 stars,https://res.cloudinary.com/dsdky0ppi/image/upload/v1736398610/berlin_t8pdxq.jpg
Babu Yadav Puchka Wala,,,"88.40917""E","22.59857""N",Kolkata,West Bengal,puchka,churmur,5 stars,3 stars,4 stars,https://res.cloudinary.com/dsdky0ppi/image/upload/v1736398646/AE_e4biuh.jpg
Gupi's Kitchen,,,"88.40917""E","22.59857""N",Kolkata,West Bengal,maggi,egg sandwich,4 stars,2 star,2 star,https://res.cloudinary.com/dsdky0ppi/image/upload/v1736398671/gupis_srb0wk.jpg
Sen Mahsay Mohan Puchka,,,"88.41155""E","22.59860""N",Kolkata,West Bengal,puchka,churmur,5 stars,3 stars,5 stars,https://res.cloudinary.com/dsdky0ppi/image/upload/v1736398702/idk_jsxboz.jpg
Mirch Masala,,,"88.42450""E","22.58683""N",Kolkata,West Bengal,chicken roll,chowmein,3 stars,4 stars,4 stars,https://res.cloudinary.com/dsdky0ppi/image/upload/v1736398724/mirch_wbblzv.jpg
Sahu Bhel,,,"88.40872""E","22.59397""N",Kolkata,West Bengal,bhel puri,chana chips,5 stars,3 stars,3 stars,https://res.cloudinary.com/dsdky0ppi/image/upload/v1736398744/sahus_mqakrv.jpg