name,Market Name,location__coordinates__001,location__coordinates__002,City,State,foodItems__-,foodItems,hygieneRating,tasteRating,hospitalityRating,photoUrl
ShriNath Pav Bhaji,,"26*15'44"" N","73*0'14"" E",Jodhpur,Rajasthan,pav bhaji ,veg pulao,4 Stars,5 Stars,4 Stars,https://res.cloudinary.com/dcw4w2kjm/image/upload/v1736012281/Screenshot_2025-01-04_at_11.06.33_PM_vpzdih.png
Prajapati Vada Pav,,"26*15'44"" N","73*0'14"" E",Jodhpur,Rajasthan,vada pav ,dabeli,3 stars,5 Stars,4 stars,https://res.cloudinary.com/dcw4w2kjm/image/upload/v1736012638/Screenshot_2025-01-04_at_11.13.41_PM_bu3oah.png
ShriNath Dosa center,,"26*15'44"" N","73*0'14"" E",Jodhpur,Rajasthan,dosa,idli sambar,5 Stars,5 stars,5 stars,https://res.cloudinary.com/dcw4w2kjm/image/upload/v1736012836/Screenshot_2025-01-04_at_11.16.52_PM_mhz0ar.png
Devnarayan Pani Puri,,"26*15'44"" N","73*0'14"" E",Jodhpur,Rajasthan,pani puri,pani puri,3 Star,4 star,3 Star,https://res.cloudinary.com/dcw4w2kjm/image/upload/v1736014573/Screenshot_2025-01-04_at_11.45.50_PM_gr4jcc.png
Momos Wala,,"26*15'44"" N","73*0'14"" E",Jodhpur,Rajasthan,momos,momos,3 Star,3 star,3 star,https://res.cloudinary.com/dcw4w2kjm/image/upload/v1736014685/Screenshot_2025-01-04_at_11.46.35_PM_nnwxk4.png
Delhi 6 Fast Food,,"26*15'44"" N","73*0'14"" E",Jodhpur,Rajasthan,paneer tikka,soya chaap,3 star,5 star,4 star,https://res.cloudinary.com/dcw4w2kjm/image/upload/v1736014689/Screenshot_2025-01-04_at_11.46.44_PM_oytsho.png
Jai Mata Di Fast Food,,"26*15'44"" N","73*0'14"" E",Jodhpur,Rajasthan,daal ke bade,vada pav,4 star,3 star,4 star,https://res.cloudinary.com/dcw4w2kjm/image/upload/v1736014693/Screenshot_2025-01-04_at_11.47.03_PM_ekhedk.png
Bombay Chinese Fast Food,,"26*15'44"" N","73*0'14"" E",Jodhpur,Rajasthan,sandwiches,pasta,3 star,3 star,3 star,https://res.cloudinary.com/dcw4w2kjm/image/upload/v1736014693/Screenshot_2025-01-04_at_11.47.03_PM_ekhedk.png
Shri Nath Pav Bhaji,,"26*15'44"" N","73*0'14"" E",Jodhpur,Rajasthan,masala pav,pav bhaji,5 star,4 star,5 star,https://res.cloudinary.com/dcw4w2kjm/image/upload/v1736014697/Screenshot_2025-01-04_at_11.47.14_PM_qqdmcc.png
Krishna Sandwich,,"26*15'44"" N","73*0'14"" E",Jodhpur,Rajasthan,sandwich ,manchurian,3 star,4 star,4 star,https://res.cloudinary.com/dcw4w2kjm/image/upload/v1736014702/Screenshot_2025-01-04_at_11.47.24_PM_ibjpyj.png
Bombay ka Shahi Vada Pav, ,"26*15'44"" N","73*0'14"" E",Jodhpur,Rajasthan,vada pav ,dabeli,4 star,3 star,4 star,https://res.cloudinary.com/dcw4w2kjm/image/upload/v1736014926/Screenshot_2025-01-04_at_11.50.09_PM_i6ppsi.png
Devnarayan Pani Puri,,"26*15'49"" N","73*0'18"" E",Jodhpur,Rajasthan,pani puri,pani puri,4 star ,5 star,5 star,https://res.cloudinary.com/dcw4w2kjm/image/upload/v1736014930/Screenshot_2025-01-04_at_11.50.17_PM_tbnlfc.png
Mateshwari Ice Cream,,"26*15'49"" N","73*0'18"" E",Jodhpur,Rajasthan,ice cream,faluda,5 star,2 star,3 star,https://res.cloudinary.com/dcw4w2kjm/image/upload/v1736014935/Screenshot_2025-01-04_at_11.50.27_PM_clkuei.png
Shri krishn Pav Bhaji,,"26*15'49"" N","73*0'18"" E",Jodhpur,Rajasthan,pav bhaji ,pav bhaji,3 star,3 star,3 star,https://res.cloudinary.com/dcw4w2kjm/image/upload/v1736014948/Screenshot_2025-01-04_at_11.50.36_PM_xabmg9.png
Shrinath Pav bhaji,,"26*15'49"" N","73*0'18"" E",Jodhpur,Rajasthan,pav bhaji ,pav bhaji,4 star,4 star,4 star,https://res.cloudinary.com/dcw4w2kjm/image/upload/v1736014951/Screenshot_2025-01-04_at_11.50.47_PM_hf7vds.png
Brothers point,,"26*15'49"" N","73*0'17"" E",Jodhpur,Rajasthan,sandwich ,maggi ,5 star,4 star,4 star,https://res.cloudinary.com/dcw4w2kjm/image/upload/v1736014955/Screenshot_2025-01-04_at_11.50.57_PM_qj0auh.png
Sweetcorn Wala,,"26*15'44"" N","73*0'19"" E",Jodhpur,Rajasthan,sweet corn,dosa,4 star,5 star,3 star,https://res.cloudinary.com/dcw4w2kjm/image/upload/v1736014975/Screenshot_2025-01-04_at_11.51.05_PM_aiywe2.png
Vaishnav Shri Balaji Food Corner,,"26*15'44"" N","73*0'19"" E",Jodhpur,Rajasthan,moong dal pakora and potatoes,,3 star,4 star,4 star,https://res.cloudinary.com/dcw4w2kjm/image/upload/v1736014991/Screenshot_2025-01-04_at_11.51.16_PM_gtvdij.png
JBR Fast Food,,"26*15'44"" N","73*0'19"" E",Jodhpur,Rajasthan,paneer ,chowmein ,2 star,2 star,2 star,https://res.cloudinary.com/dcw4w2kjm/image/upload/v1736015310/Screenshot_2025-01-04_at_11.57.06_PM_xyydur.png
Retro Shakes by Bhupi,,"26*15'44"" N","73*0'19"" E",Jodhpur,Rajasthan,shakes ,shakes,3 star,5 star,3 star,https://res.cloudinary.com/dcw4w2kjm/image/upload/v1736015317/Screenshot_2025-01-04_at_11.57.13_PM_acfqnp.png
Amritsari Chur Chur Naan,,"26*15'44"" N","73*0'19"" E",Jodhpur,Rajasthan,chur chur naan ,chur chur naan,5 star,5 star,5 star,https://res.cloudinary.com/dcw4w2kjm/image/upload/v1736015320/Screenshot_2025-01-04_at_11.57.23_PM_cajslm.png
59 Pizza Wala,,"26*15'43"" N","73*0'18"" E",Jodhpur,Rajasthan,pizza,sandwich,3 star,4 star,4 star,https://res.cloudinary.com/dcw4w2kjm/image/upload/v1736015324/Screenshot_2025-01-04_at_11.57.34_PM_zrirhr.png
Shankar Kulfi,,"26*15'43"" N","73*0'18"" E",Jodhpur,Rajasthan,kulfi,kulfi,5 star,5 star,5 star,https://res.cloudinary.com/dcw4w2kjm/image/upload/v1736015334/Screenshot_2025-01-04_at_11.57.44_PM_i4ekdx.png
R.M. Momos,,"26*15'43"" N","73*0'18"" E",Jodhpur,Rajasthan,momos,momos,4 star,3 star,4 star,https://res.cloudinary.com/dcw4w2kjm/image/upload/v1736015344/Screenshot_2025-01-04_at_11.57.52_PM_i2eetf.png
R.M Fastfood,,"26*15'43"" N","73*0'17"" E",Jodhpur,Rajasthan,burger,manchurian,3 star,2 star,3 star,https://res.cloudinary.com/dcw4w2kjm/image/upload/v1736015361/Screenshot_2025-01-04_at_11.57.59_PM_oclqkn.png
The Rolling Stove,,"26*15'43"" N","73*0'17"" E",Jodhpur,Rajasthan,chur chur naan ,chur chur naan,4 star,5 star,5 star,https://res.cloudinary.com/dcw4w2kjm/image/upload/v1736015365/Screenshot_2025-01-04_at_11.58.05_PM_rlbgeo.png
Lalaji Patrusia Bhandar,,26.889754,75.809935,Jaipur,Rajasthan,Pani Puri,,3 star,3 star,3 star,
BigScooopCafe,,26.856509,75.806284,Jaipur,Rajasthan,"Bobba Tea, Milkshake","Burger, Sandwhich, Pizza", 5 star, 5 star, 5 star,
Chair Corner,,26.855137,75.806642,Jaipur,Rajasthan,Chai,Sandwhich,4 star,4 star,4 star,
The Juice Bar,,26.855425,75.806467,Jaipur,Rajasthan,Jucies,Shakes,5 star,5 star,5 star,
Jaipur ChatKara,,26.855419,75.806746,Jaipur,Rajasthan,"Cholde Bhature, Pav Bhaji",Chats,4 star,4 star,4 star,
Chaat ka Chaska,,26.855704,75.806753,Jaipur,Rajasthan,Chat,Pac Bhaji,5 star,5 star,5 star,
Love Over Coffee,,26.855318,75.806893,Jaipur,Rajasthan,Coffee,Sandwhich,4 star,4 star,4 star,
Grill o Logy, ,26.855423,75.806843,Jaipur,Rajasthan,Chap,Momos,4 star,4 star,4 star,
Ice Cream Parlor,,26.855405,75.806688,Jaipur,Rajasthan,Ice cream,Waffles,4 star,4 star,4 star,
Chair Smoker,,26.855557,75.807726,Jaipur,Rajasthan,Chai,,3 star,3 star,3 star,
Bhawani Egg & Pizza House,,26.855026,75.807941,Jaipur,Rajasthan,Pizza ,Egg Items,3 star,3 star,3 star,
 J. D's famous Jaljira Soda Shikanji and Mocktail,,26.854968,75.808242,Jaipur,Rajasthan,Shikanji ,Mocktail,3 star,3 star,3 star,
Srinatha Pavabhaji,,26.855123,75.807922,Jaipur,Rajasthan,pav bhaji ,,3 star,3 star,3 star,
Amrit Juice Junction,,26.854984,75.807165,Jaipur,Rajasthan,Juices,Shakes,4 star,4 star,4 star,
Scoop Troop,,26.855092,75.807588,Jaipur,Rajasthan,Ice Cream,Deserts,4 star,4 star,4 star,
Rudraksh Chinese Corner,,26.855181,75.807465,Jaipur,Rajasthan,Chinese Food,,4 star,4 star,4 star,
Som Momos and Gravy Momos,,26.856733,75.806991,Jaipur,Rajasthan,Momos,Chinese Food,3 star,3 star,3 star,
Pound pulse,,26.856777,75.806832,Jaipur,Rajasthan,Pav Bhaji ,,3 star,3 star,3 star,
Redsot Chat Store,,26.856716,75.806738,Jaipur,Rajasthan,Pani Puri,Chat,3 star,3 star,3 star,
Ganpat Burger Center,,26.85673,75.806591,Jaipur,Rajasthan,Burger,,3 star,3 star,3 star,
Papa Razi,,26.856732,75.806691,Jaipur,Rajasthan,Chinese Food,South India Food,4 star,4 star,4 star,
Chat Station,,26.856158,75.806602,Jaipur,Rajasthan,Chaat,Momos,3 star,3 star,3 star,
Jaipur Super Burger,,26.855502,75.806316,Jaipur,Rajasthan,Burger,"Pizza, Momos, Coffee",4 star,4 star,4 star,
The Traditional Indian Kulfi,,26.855408,75.806382,Jaipur,Rajasthan,Kulfi,,3 star,3 star,3 star,
Ice n Spice,,26.855877,75.806468,Jaipur,Rajasthan,"Lassi, shakes,","Vad Pav, Pav Bhaji",4 star,4 star,4 star,
Foodz,,26.855985,75.806581,Jaipur,Rajasthan,Pizza ,Dosa,4 star,4 star,4 star,
Chinese Corner,,26.856105,75.806261,Jaipur,Rajasthan,Chinese Food,,4 star,4 star,4 star,
The Sccop Shop,,26.856152,75.805928,Jaipur,Rajasthan,Ice Cream,Boba Tea,4 star,4 star,4 star,
The Shake Junction,,26.856262,75.806053,Jaipur,Rajasthan,Milshake,Waffle,4 star,4 star,4 star,
Coffee and Corn,,26.856252,75.806168,Jaipur,Rajasthan,Coffee,Corn,4 star,4 star,4 star,
Choudhary Chat Center, ,26.85626,75.806284,Jaipur,Rajasthan,"Pav Bhaji, Vada Pav","Dabeli, Rolls",4 star,4 star,4 star,https://res.cloudinary.com/drwzldebq/image/upload/v1737616309/WhatsApp_Image_2025-01-21_at_20.11.42_gmzopq.jpg
Meals for wheels,,26.856509,75.806284,Jaipur,Rajasthan,momos,meals,4 star,4 star,4 star,
 ,,26.855137,75.806642,Jaipur,Rajasthan,Pani Puri,bhel puri,3 star,3 star,3 star,
Sri Krishna Cheese tikka,,26.855425,75.806467,Jaipur,Rajasthan,cheese tikka,burger,5 star,5 star,5 star,https://res.cloudinary.com/drwzldebq/image/upload/v1737911048/WhatsApp_Image_2025-01-21_at_20.11.21_1_wy1wcr.jpg
Mr. Sai Vadapav Centre,,26.855419,75.806746,Jaipur,Rajasthan,vadapav,vadapav,3 star,3 star,3 star,https://res.cloudinary.com/drwzldebq/image/upload/v1737616302/WhatsApp_Image_2025-01-21_at_20.11.22_neziqk.jpg
Sheth Khatuwala Foods,,26.855704,75.806753,Jaipur,Rajasthan,Coffee,Sandwhichs,5 star,5 star,5 star,https://res.cloudinary.com/drwzldebq/image/upload/v1737616301/WhatsApp_Image_2025-01-21_at_20.11.22_1_fmared.jpg
Jai Shree Krishna American Sweet Corn,,26.855318,75.806893,Jaipur,Rajasthan,Sweet Corn,Momos,4 star,4 star,4 star,https://res.cloudinary.com/drwzldebq/image/upload/v1737616301/WhatsApp_Image_2025-01-21_at_20.11.22_2_jrghxw.jpg
Srinath pav bhaji chowmin,,26.855423,75.806843,Jaipur,Rajasthan,pav bhaji,chowmein ,3 star,3 star,3 star,https://res.cloudinary.com/drwzldebq/image/upload/v1737616302/WhatsApp_Image_2025-01-21_at_20.11.23_iy1upz.jpg
Srinath Chowmeen Pav bhaji,,26.855405,75.806688,Jaipur,Rajasthan,choemen,pav bhaji,3 star,3 star,3 star,https://res.cloudinary.com/drwzldebq/image/upload/v1737616302/WhatsApp_Image_2025-01-21_at_20.11.23_1_b9jqk4.jpg
South Indian Balaji Dossa,,26.855557,75.807726,Jaipur,Rajasthan,dossa,idli,5 star,5 star,5 star,https://res.cloudinary.com/drwzldebq/image/upload/v1737616303/WhatsApp_Image_2025-01-21_at_20.11.24_dgctal.jpg
momos pizza burger sendwich,,26.855026,75.807941,Jaipur,Rajasthan,pizza ,burger sandwich,3 star,3 star,3 star,https://res.cloudinary.com/drwzldebq/image/upload/v1737616302/WhatsApp_Image_2025-01-21_at_20.11.24_1_ialuyr.jpg
"Shri Shyam Paneer Tikka, Soya Chap",,26.855123,75.807922,Jaipur,Rajasthan,paneer rtikka,soya chaap,4 star,4 star,4 star,https://res.cloudinary.com/drwzldebq/image/upload/v1737616303/WhatsApp_Image_2025-01-21_at_20.11.25_1_gujsnb.jpg
R.B. Roll Chowmein centre,,26.854984,75.807165,Jaipur,Rajasthan,chowmien ,paneer 65,3 star,3 star,3 star,https://res.cloudinary.com/drwzldebq/image/upload/v1737616304/WhatsApp_Image_2025-01-21_at_20.11.26_rjuk0z.jpg
NK Momo Centre,,26.855704,75.806753,Jaipur,Rajasthan,momos,momos,5 star,5 star,5 star,https://res.cloudinary.com/drwzldebq/image/upload/v1737616304/WhatsApp_Image_2025-01-21_at_20.11.26_1_qpbr4j.jpg
Manohar Singh Punjabi Fish and Chicken Centre,,26.855318,75.806893,Jaipur,Rajasthan,fish,chicken,4 star,4 star,4 star,https://res.cloudinary.com/drwzldebq/image/upload/v1737616305/WhatsApp_Image_2025-01-21_at_20.11.27_pcsu7z.jpg
Pandit pav bhaji ,,26.855423,75.806843,Jaipur,Rajasthan,pav bhaji,pav bhaji,3 star,3 star,3 star,https://res.cloudinary.com/drwzldebq/image/upload/v1737616305/WhatsApp_Image_2025-01-21_at_20.11.27_1_zcxguw.jpg
Chat Center,,26.8606397,75.7639479,Jaipur,Rajasthan,bhel chaat,dahi chaat,5 star,5 star,5 star,
Silu Chat Store,,26.855557,75.807726,Jaipur,Rajasthan,bhel chaat ,tikki chaat,4 star,4 star,4 star,https://res.cloudinary.com/drwzldebq/image/upload/v1737616306/WhatsApp_Image_2025-01-21_at_20.11.28_cpwwbi.jpg
Jodhpur Pani Puri Centre,,26.855026,75.807941,Jaipur,Rajasthan,pani puri ,papdi chaat,3 star,3 star,3 star,https://res.cloudinary.com/drwzldebq/image/upload/v1737616307/WhatsApp_Image_2025-01-21_at_20.11.28_1_imwgne.jpg
